X1,X2,Y
38,81,0
54,98,0
63,96,0
42,50,1
5,16,1
73,63,0
72,87,0
11,35,1
97,37,0
92,81,0
91,50,0
90,87,0
25,9,1
92,93,0
9,35,1
47,41,1
45,18,1
34,18,1
28,24,1
37,49,1
67,61,0
43,78,0
22,20,1
52,28,1
29,73,0
1,82,1
41,36,1
49,99,0
61,17,1
15,17,1
86,63,0
93,82,0
54,81,0
72,12,1
35,95,0
80,59,0
96,3,1
11,33,1
85,92,0
29,56,1
2,100,0
86,6,1
101,35,0
51,11,1
48,71,0
84,53,0
42,25,1
56,20,1
84,102,0
63,87,0
18,1,1
26,26,1
55,16,1
58,16,1
64,57,0
101,29,0
56,41,1
28,36,1
98,18,0
57,50,0
26,101,0
62,62,0
5,56,1
15,18,1
56,96,0
28,13,1
100,36,0
36,26,1
98,86,0
50,100,0
11,53,1
23,89,0
34,83,0
11,70,1
98,52,0
7,8,1
46,72,0
76,54,0
29,44,1
31,71,0
100,37,0
70,8,1
46,32,1
95,78,0
68,5,1
37,86,0
39,9,1
9,79,1
100,82,0
87,71,0
1,86,1
76,93,0
14,26,1
5,38,1
17,10,1
85,40,0
92,32,0
87,100,0
12,53,1
