X1,X2,Y
39,82,1
75,53,0
83,64,0
98,6,0
16,28,1
88,55,0
85,81,0
87,92,0
18,62,1
60,11,0
83,25,0
3,90,1
24,41,1
26,58,1
50,98,0
59,90,0
35,87,1
41,29,1
27,65,1
74,89,0
51,33,0
43,2,1
54,41,0
42,48,1
94,22,0
11,52,1
63,57,0
79,13,0
31,48,1
51,52,0
56,10,0
12,9,1
17,40,1
40,36,1
70,74,0
91,54,0
80,19,0
77,79,0
28,65,1
12,5,1
78,32,0
75,92,0
48,34,1
25,92,1
97,20,0
99,84,0
88,61,0
51,87,0
63,11,0
58,80,0
92,61,0
88,72,0
55,68,0
97,31,0
75,25,0
62,53,0
23,8,1
95,3,0
61,28,0
66,9,0
51,95,0
43,32,1
32,9,1
16,29,1
70,4,0
73,62,0
32,35,1
24,16,1
82,69,0
71,99,0
43,35,1
29,41,1
47,81,1
19,67,1
79,39,0
4,4,1
3,7,1
87,23,0
39,25,1
91,90,0
73,55,0
45,37,1
31,39,1
13,88,1
64,29,0
22,81,1
86,55,0
10,40,1
35,48,1
15,27,1
0,2,1
63,83,0
15,35,1
49,44,1
97,2,0
63,52,0
95,4,0
29,41,1
82,46,0
10,95,1
63,15,0
